AOA,CL Open,CL open Max,CL open min,CL open mean ,CL Closed,CL Closed max,Cl closed min ,Cl closed mean ,tPA_closed,tPA_open
0.55711,-0.052679,0.061355,-0.073243,-0.015365433,-0.0038361,0.040699,-0.033892,-8.48588E-06,6.4331,6.4331
0.55732,-0.052706,0.061355,-0.073243,-0.015365433,-0.0038367,0.040699,-0.033892,-8.48588E-06,6.4341,6.4341
0.55752,-0.052733,0.061355,-0.073243,-0.015365433,-0.0038351,0.040699,-0.033892,-8.48588E-06,6.4351,6.4351
0.55778,-0.05276,0.061355,-0.073243,-0.015365433,-0.0038313,0.040699,-0.033892,-8.48588E-06,6.4361,6.4361
0.55797,-0.052786,0.061355,-0.073243,-0.015365433,-0.0038252,0.040699,-0.033892,-8.48588E-06,6.4371,6.4371
0.55828,-0.052811,0.061355,-0.073243,-0.015365433,-0.0038169,0.040699,-0.033892,-8.48588E-06,6.4381,6.4381
0.5585,-0.052836,0.061355,-0.073243,-0.015365433,-0.0038063,0.040699,-0.033892,-8.48588E-06,6.4391,6.4391
0.55881,-0.052861,0.061355,-0.073243,-0.015365433,-0.0037933,0.040699,-0.033892,-8.48588E-06,6.4401,6.4401
0.5591,-0.052884,0.061355,-0.073243,-0.015365433,-0.003778,0.040699,-0.033892,-8.48588E-06,6.4411,6.4411
0.55938,-0.052907,0.061355,-0.073243,-0.015365433,-0.0037603,0.040699,-0.033892,-8.48588E-06,6.4421,6.4421
0.55962,-0.052929,0.061355,-0.073243,-0.015365433,-0.0037402,0.040699,-0.033892,-8.48588E-06,6.4431,6.4431
0.55986,-0.052951,0.061355,-0.073243,-0.015365433,-0.0037176,0.040699,-0.033892,-8.48588E-06,6.4441,6.4441
0.5601,-0.052972,0.061355,-0.073243,-0.015365433,-0.0036926,0.040699,-0.033892,-8.48588E-06,6.4451,6.4451
0.56039,-0.052992,0.061355,-0.073243,-0.015365433,-0.003665,0.040699,-0.033892,-8.48588E-06,6.4461,6.4461
